year,value,country_area
2014,393126.947,Australia
2013,396913.9365,Australia
2012,406462.8477,Australia
2011,403705.5283,Australia
2010,406200.9932,Australia
2009,408448.479,Australia
2008,404237.8282,Australia
2007,398816.4535,Australia
2006,391134.1009,Australia
2005,385581.1328,Australia
2004,381519.2616,Australia
2003,368345.9774,Australia
2002,361861.3879,Australia
2001,357653.3299,Australia
2000,349885.4331,Australia
1999,343713.9069,Australia
1998,334328.1426,Australia
1997,320439.1168,Australia
1996,311914.8198,Australia
1995,305162.5435,Australia
1994,293830.7091,Australia
1993,289142.2677,Australia
1992,284766.0927,Australia
1991,279741.639,Australia
1990,278265.8989,Australia
